Pollutant,Category,Sources
Pollutant Information: Sodium ,Category: Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Residential/Institutional/Commercial,Combustion in Energy and Transformation Industry,Glass Production,Production Processes,Shipping"
Pollutant Information: Potassium ,Category: Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Combustion in Residential/Institutional/Commercial,Production Processes,Road Transport"
Pollutant Information: Selenium ,Category: Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Other Stationary Combustion,Other Transport,Production Processes,Road Transport"
Pollutant Information: Mercury ,Category: Heavy metals and base cations,"All,Combustion in Energy and Transformation Industry,Iron and Steel,Other Stationary Combustion,Production Processes,Transport,Waste Incineration"
Pollutant Information: Nickel ,Category: Heavy metals and base cations,"All,Combustion in Energy and Transformation Industry,Iron and Steel,Other Stationary Combustion,Production Processes,Transport"
Pollutant Information: Magnesium ,Category: Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Combustion in Residential/Institutional/Commercial,Glass Production,Production Processes"
Pollutant Information: Chromium ,Category: Heavy metals and base cations,"All,Chemical industry - Solvent Use,Metal Production,Other Production Processes / Waste,Public Electricity Generation / Industrial Combustion,Residential / Commercial / Institutional,Transport"
Pollutant Information: Lead ,Category: Heavy metals and base cations,"All,Iron and Steel,Other industrial combustion: Lubricants,Other Stationary Combustion,Production Processes,Public Electricity and Heat Production,Transport"
Pollutant Information: Zinc ,Category: Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Automobile tyre and brake wear,Combustion in Energy and Transformation Industry,Metal Production,Other Transport,Production Processes/Waste,Residential /Commercial / Institutional,Waste Incineration"
Pollutant Information: Calcium ,Category: Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Combustion in Residential/Institutional/Commercial,Production Processes,Shipping"
Pollutant Information: Sulphur Dioxide ,Category: Air pollutants,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Production Processes/Waste,Residential/Commercial / Institutional,Transport"
