ISO,Fungicides and Bactericides EcoToxicity Sea water,Insecticides Eco Toxicity Sea water,Herbicides Eco Toxicity Sea water,Rodenticides Eco Toxicity Sea water,N Fertiliser (N emission to marine system) Eco Toxicity Sea water,N Fertiliser (N emission to freshwater (river)) Eco Toxicity Sea water
AFG,14117.79049,15087.33128,676.3924012,61.62178546,1.84032E-17,7.23436E-20
AGO,6157.016929,11091.16197,300.9365992,24.75593366,1.17148E-18,2.48727E-18
ALB,5766.31111,6322.837147,290.2756207,24.53881482,0,7.25424E-18
AND,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,5.37644E-18
ARE,8597.098772,8590.333813,436.2676939,37.03439047,6.0027E-18,2.52112E-18
ARG,47220.67066,50740.91104,2365.825063,226.903574,3.51859E-18,6.52817E-18
ARM,8597.098772,8590.333813,436.2676939,37.03439047,1.06004E-17,5.37644E-18
ATG,20227.91497,24527.5843,1001.642375,88.78916962,0,3.2097E-18
AUS,2501.492511,1539.608412,142.4944758,12.77038446,1.8453E-18,1.90129E-17
AUT,5766.31111,6322.837147,290.2756207,24.53881482,7.27195E-18,6.83535E-19
AZE,8597.098772,8590.333813,436.2676939,37.03439047,0,5.37644E-18
BDI,18403.23843,33003.44487,899.2325478,74.15144088,6.0027E-18,3.50755E-20
BEL,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,1.13836E-17
BEN,6157.016929,11091.16197,300.9365992,24.75593366,0,2.0131E-19
BFA,6157.016929,11091.16197,300.9365992,24.75593366,0,2.52112E-18
BGD,14117.79049,15087.33128,676.3924012,61.62178546,7.35809E-18,8.83979E-18
BGR,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,3.18222E-20
BHR,8597.098772,8590.333813,436.2676939,37.03439047,9.81331E-19,2.52112E-18
BHS,20227.91497,24527.5843,1001.642375,88.78916962,4.03134E-18,3.2097E-18
BIH,5766.31111,6322.837147,290.2756207,24.53881482,2.20978E-18,1.06167E-17
BLR,5766.31111,6322.837147,290.2756207,24.53881482,4.70245E-18,5.37644E-18
BLZ,20227.91497,24527.5843,1001.642375,88.78916962,0,9.72469E-22
BOL,47220.67066,50740.91104,2365.825063,226.903574,0,1.22483E-18
BRA,47220.67066,50740.91104,2365.825063,226.903574,0,1.18536E-16
BRB,20227.91497,24527.5843,1001.642375,88.78916962,3.51859E-18,3.2097E-18
BRN,32152.00794,31852.57793,1617.485013,141.505064,6.69637E-18,4.78799E-19
BTN,14117.79049,15087.33128,676.3924012,61.62178546,0,0
BWA,9914.499828,17629.03383,484.3890755,40.14601417,0,3.17025E-19
CAF,6157.016929,11091.16197,300.9365992,24.75593366,6.0027E-18,0
CAN,7148.357383,8864.342775,354.2392518,29.89116104,4.2267E-18,3.52705E-17
CHE,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,3.28594E-17
CHL,47220.67066,50740.91104,2365.825063,226.903574,0,9.47797E-16
CHN,14117.79049,15087.33128,676.3924012,61.62178546,0,4.93387E-15
CIV,6157.016929,11091.16197,300.9365992,24.75593366,0,2.52112E-18
CMR,6157.016929,11091.16197,300.9365992,24.75593366,1.60889E-19,1.34575E-19
COD,6157.016929,11091.16197,300.9365992,24.75593366,6.80537E-19,2.52112E-18
COG,6157.016929,11091.16197,300.9365992,24.75593366,1.37625E-17,1.92214E-22
COL,47220.67066,50740.91104,2365.825063,226.903574,0,5.28541E-19
CPV,6157.016929,11091.16197,300.9365992,24.75593366,0,2.52112E-18
CRI,20227.91497,24527.5843,1001.642375,88.78916962,0,1.49137E-19
CUB,7148.357383,8864.342775,354.2392518,29.89116104,3.51859E-18,4.53534E-19
CYP,8597.098772,8590.333813,436.2676939,37.03439047,1.06004E-17,5.37644E-18
CZE,5766.31111,6322.837147,290.2756207,24.53881482,8.05378E-19,2.36589E-17
DEU,5766.31111,6322.837147,290.2756207,24.53881482,8.53076E-18,1.64018E-14
DJI,18403.23843,33003.44487,899.2325478,74.15144088,0,0
DNK,2866.678353,3274.10327,142.790184,11.90268843,1.06004E-17,5.08266E-17
DOM,20227.91497,24527.5843,1001.642375,88.78916962,3.51859E-18,5.20839E-20
DZA,18403.23843,33003.44487,899.2325478,74.15144088,1.00839E-18,7.16442E-18
ECU,47220.67066,50740.91104,2365.825063,226.903574,1.50683E-18,3.2097E-18
EGY,18403.23843,33003.44487,899.2325478,74.15144088,1.75373E-18,6.79743E-17
ERI,18403.23843,33003.44487,899.2325478,74.15144088,0,3.33872E-19
ESP,5766.31111,6322.837147,290.2756207,24.53881482,0,1.00577E-17
