ISO,Fungicides and Bactericides Human Toxicity freshwater,Insecticides Human Toxicity freshwater,Herbicides Human Toxicity freshwater,Rodenticides Human Toxicity freshwater,,,,,,,,,,,,,,,,,,,,,,
AFG,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
AGO,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
ALB,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
AND,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
ARE,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ARG,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
ARM,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ATG,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
AUS,1.32971E-07,3.30775E-05,8.82616E-05,,,,,,,,,,,,,,,,,,,,,,,
AUT,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
AZE,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
BDI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
BEL,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BEN,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
BFA,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
BGD,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
BGR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BHR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
BHS,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
BIH,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BLR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BLZ,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
BOL,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
BRA,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
BRB,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
BRN,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
BTN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
BWA,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
CAF,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
CAN,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
CHE,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
CHL,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
CHN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
CIV,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
CMR,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
COD,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
COG,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
COL,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
CPV,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
CRI,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
CUB,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
CYP,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
CZE,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
DEU,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
DJI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
DNK,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
DOM,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
DZA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ECU,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
EGY,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ERI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ESP,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
EST,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
ETH,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
FIN,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
FJI,2.90166E-08,6.8402E-06,3.79885E-05,,,,,,,,,,,,,,,,,,,,,,,
FRA,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
GAB,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GBR,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
GEO,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
GHA,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GIN,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GMB,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GRC,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
GTM,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
GUY,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
HND,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
HRV,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
HTI,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
HUN,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
IDN,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
IND,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
IRL,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
IRN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
IRQ,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ISL,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
ISR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ITA,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
JAM,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
JOR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
JPN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
KAZ,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
KEN,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
KGZ,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
KHM,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
KOR,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
