ISO,Fungicides and Bactericides Human Toxicity Sea water,Insecticides Human Toxicity Sea water,Herbicides Human Toxicity Sea water,Rodenticides Human Toxicity Sea water
AFG,2.70466E-07,6.61481E-05,0.0001549,
AGO,5.54909E-08,0,0,
ALB,2.73828E-07,0,0,
AND,2.73828E-07,0,0,
ARE,2.00338E-08,0,0,
ARG,1.82647E-07,0,0,
ARM,2.00338E-08,0,0,
ATG,2.01721E-07,0,0,
AUS,1.32971E-07,0,0,
AUT,2.73828E-07,0,0,
AZE,2.00338E-08,0,0,
BDI,5.89069E-08,0,0,
BEL,2.73828E-07,0,0,
BEN,5.54909E-08,0,0,
BFA,5.54909E-08,0,0,
BGD,2.70466E-07,0,0,
BGR,2.73828E-07,0,0,
BHR,2.00338E-08,0,0,
BHS,2.01721E-07,0,0,
BIH,2.73828E-07,0,0,
BLR,2.73828E-07,0,0,
BLZ,2.01721E-07,0,0,
BOL,1.82647E-07,0,0,
BRA,1.82647E-07,0,0,
BRB,2.01721E-07,0,0,
BRN,3.73804E-07,0,0,
BTN,2.70466E-07,0,0,
BWA,6.54973E-08,0,0,
CAF,5.54909E-08,0,0,
CAN,5.43544E-08,0,0,
CHE,2.73828E-07,0,0,
CHL,1.82647E-07,0,0,
CHN,2.70466E-07,0,0,
CIV,5.54909E-08,0,0,
CMR,5.54909E-08,0,0,
COD,5.54909E-08,0,0,
COG,5.54909E-08,0,0,
COL,1.82647E-07,0,0,
CPV,5.54909E-08,0,0,
CRI,2.01721E-07,0,0,
CUB,5.43544E-08,0,0,
CYP,2.00338E-08,0,0,
CZE,2.73828E-07,0,0,
DEU,2.73828E-07,0,0,
DJI,5.89069E-08,0,0,
DNK,1.42525E-09,0,0,
DOM,2.01721E-07,0,0,
DZA,5.89069E-08,0,0,
ECU,1.82647E-07,0,0,
EGY,5.89069E-08,0,0,
ERI,5.89069E-08,0,0,
ESP,2.73828E-07,0,0,
EST,1.42525E-09,0,0,
ETH,5.89069E-08,0,0,
FIN,1.42525E-09,0,0,
FJI,2.90166E-08,0,0,
FRA,2.73828E-07,0,0,
GAB,5.54909E-08,0,0,
GBR,1.42525E-09,0,0,
GEO,2.00338E-08,0,0,
GHA,5.54909E-08,0,0,
GIN,5.54909E-08,0,0,
GMB,5.54909E-08,0,0,
GRC,2.73828E-07,0,0,
GTM,2.01721E-07,0,0,
GUY,1.82647E-07,0,0,
HND,2.01721E-07,0,0,
HRV,2.73828E-07,0,0,
HTI,2.01721E-07,0,0,
HUN,2.73828E-07,0,0,
IDN,3.73804E-07,0,0,
IND,2.70466E-07,0,0,
IRL,1.42525E-09,0,0,
IRN,2.70466E-07,0,0,
IRQ,2.00338E-08,0,0,
ISL,1.42525E-09,0,0,
ISR,2.00338E-08,0,0,
ITA,2.73828E-07,0,0,
JAM,5.43544E-08,0,0,
JOR,2.00338E-08,0,0,
JPN,2.70466E-07,0,0,
KAZ,2.00338E-08,0,0,
KEN,5.89069E-08,0,0,
KGZ,2.00338E-08,0,0,
KHM,3.73804E-07,0,0,
KOR,2.70466E-07,0,0,
KWT,2.00338E-08,0,0,
LAO,3.73804E-07,0,0,
LBN,2.00338E-08,0,0,
LBR,5.54909E-08,0,0,
LBY,5.89069E-08,0,0,
